state,year,avg_annual_premium,policy_form,source
AL,2021,1409,HO-3,NAIC Homeowners Insurance Report 2021
AK,2021,1116,HO-3,NAIC Homeowners Insurance Report 2021
AZ,2021,917,HO-3,NAIC Homeowners Insurance Report 2021
AR,2021,1497,HO-3,NAIC Homeowners Insurance Report 2021
CA,2021,1241,HO-3,NAIC Homeowners Insurance Report 2021
CO,2021,1845,HO-3,NAIC Homeowners Insurance Report 2021
CT,2021,1494,HO-3,NAIC Homeowners Insurance Report 2021
DE,2021,966,HO-3,NAIC Homeowners Insurance Report 2021
DC,2021,1306,HO-3,NAIC Homeowners Insurance Report 2021
FL,2021,2165,HO-3,NAIC Homeowners Insurance Report 2021
GA,2021,1494,HO-3,NAIC Homeowners Insurance Report 2021
HI,2021,431,HO-3,NAIC Homeowners Insurance Report 2021
ID,2021,894,HO-3,NAIC Homeowners Insurance Report 2021
IL,2021,1187,HO-3,NAIC Homeowners Insurance Report 2021
IN,2021,1101,HO-3,NAIC Homeowners Insurance Report 2021
IA,2021,1227,HO-3,NAIC Homeowners Insurance Report 2021
KS,2021,1958,HO-3,NAIC Homeowners Insurance Report 2021
KY,2021,1342,HO-3,NAIC Homeowners Insurance Report 2021
LA,2021,2179,HO-3,NAIC Homeowners Insurance Report 2021
ME,2021,1023,HO-3,NAIC Homeowners Insurance Report 2021
MD,2021,1198,HO-3,NAIC Homeowners Insurance Report 2021
MA,2021,1583,HO-3,NAIC Homeowners Insurance Report 2021
MI,2021,1206,HO-3,NAIC Homeowners Insurance Report 2021
MN,2021,1604,HO-3,NAIC Homeowners Insurance Report 2021
MS,2021,1857,HO-3,NAIC Homeowners Insurance Report 2021
MO,2021,1582,HO-3,NAIC Homeowners Insurance Report 2021
MT,2021,1357,HO-3,NAIC Homeowners Insurance Report 2021
NE,2021,1902,HO-3,NAIC Homeowners Insurance Report 2021
NV,2021,851,HO-3,NAIC Homeowners Insurance Report 2021
NH,2021,1027,HO-3,NAIC Homeowners Insurance Report 2021
NJ,2021,1284,HO-3,NAIC Homeowners Insurance Report 2021
NM,2021,1351,HO-3,NAIC Homeowners Insurance Report 2021
NY,2021,1395,HO-3,NAIC Homeowners Insurance Report 2021
NC,2021,1359,HO-3,NAIC Homeowners Insurance Report 2021
ND,2021,1599,HO-3,NAIC Homeowners Insurance Report 2021
OH,2021,1009,HO-3,NAIC Homeowners Insurance Report 2021
OK,2021,2426,HO-3,NAIC Homeowners Insurance Report 2021
OR,2021,786,HO-3,NAIC Homeowners Insurance Report 2021
PA,2021,1062,HO-3,NAIC Homeowners Insurance Report 2021
RI,2021,1518,HO-3,NAIC Homeowners Insurance Report 2021
SC,2021,1497,HO-3,NAIC Homeowners Insurance Report 2021
SD,2021,1738,HO-3,NAIC Homeowners Insurance Report 2021
TN,2021,1409,HO-3,NAIC Homeowners Insurance Report 2021
TX,2021,2253,HO-3,NAIC Homeowners Insurance Report 2021
UT,2021,754,HO-3,NAIC Homeowners Insurance Report 2021
VT,2021,876,HO-3,NAIC Homeowners Insurance Report 2021
VA,2021,1131,HO-3,NAIC Homeowners Insurance Report 2021
WA,2021,1042,HO-3,NAIC Homeowners Insurance Report 2021
WV,2021,1135,HO-3,NAIC Homeowners Insurance Report 2021
WI,2021,894,HO-3,NAIC Homeowners Insurance Report 2021
WY,2021,1213,HO-3,NAIC Homeowners Insurance Report 2021
